#STEP_FILE ! FILE_SIZE ! MOD_TIME

ecap-12_5-20.STEP ! 134812 ! 1720534070
C0603.stp ! 74996 ! 1710578258
cap-smd-4x5_4.STEP ! 253153 ! 1710578258
cap-smd-10x10_2.STEP ! 253069 ! 1710578258
D8-L.step ! 282667 ! 1568096060
cap-smd-5x5_4.STEP ! 236170 ! 1710578258
CONN-2P-P5.step ! 1193777 ! 1710578258
cap-smd-6_3x5_4.STEP ! 236141 ! 1710578258
cap-smd-8x6_5.STEP ! 236073 ! 1710578258
ecap-6_3-11_2.STEP ! 103312 ! 1720704337
